id,title,author,category,copies,borrowings,available,waiting,price_inr
1,Hands-On Machine Learning,Aurélien Géron,Data Science,5,148,1,4,1099
2,Python Crash Course,Eric Matthes,Computer Science,7,174,2,3,829
3,Discrete Mathematics and Its Applications,Kenneth Rosen,Mathematics,4,116,0,5,899
4,Data Science from Scratch,Joel Grus,Data Science,4,103,1,3,799
5,Introduction to Algorithms,"Cormen, Leiserson, Rivest & Stein",Computer Science,6,129,1,4,1199
6,Statistics for Data Scientists,"Peter Bruce, Andrew Bruce & Peter Gedeck",Data Science,3,82,0,4,749
7,Artificial Intelligence: A Modern Approach,Stuart Russell & Peter Norvig,Computer Science,5,111,1,2,1299
8,Database System Concepts,Abraham Silberschatz,Computer Science,6,94,2,1,949
9,Deep Learning,"Ian Goodfellow, Yoshua Bengio & Aaron Courville",Data Science,3,76,1,3,999
10,Research Methodology,C. R. Kothari,Research,8,88,4,0,525
11,1984,George Orwell,Literature,9,121,3,1,399
12,Gitanjali,Rabindranath Tagore,Literature,7,63,4,0,299
13,Don Quixote,Miguel de Cervantes,Literature,5,47,3,0,499
14,The Story of Kashmir,Tariq Ali,History,4,59,2,1,599
15,Kashmir: A Disputed Legacy,Alastair Lamb,History,3,51,1,1,699
16,Linear Algebra and Its Applications,David C. Lay,Mathematics,5,86,2,2,875
17,Operating System Concepts,"Silberschatz, Galvin & Gagne",Computer Science,6,73,3,0,999
18,The Alchemist,Paulo Coelho,Literature,10,92,6,0,350
